Campaign;Channel;Period;Impressions;Clicks;Cost (€);Conversions;;Revenue (€)
Winter Sale;Meta Ads;2026-Q1;283000;4838;11088,60;290;;58416,73
Aurora Launch;Google Ads;2026-Q1;497000;20221;31538,59;824;;108939,00
Brand Awareness;YouTube Ads;2026-Q1;1765000;59925;112971,57;4125;;555830,53
Cart Retargeting;Meta Ads;2026-Q1;531000;2179;782,71;64;;2934,11
B2B Webinar;LinkedIn Ads;2026-Q1;63000;2356;4007,78;147;;9740,35
Black Friday;Google Ads;2026-Q1;555000;10130;24287,47;0;;0,00
Monthly Newsletter;Email;2026-Q1;;39264;13720,03;1332;;172435,39
Micro Influence;TikTok Ads;2026-Q1;638000;10075;4964,68;602;;95349,33
Blog Traffic;Display;2026-Q1;672000;3369;5923,09;120;;12581,23
App Install;TikTok Ads;2026-Q1;856000;34693;48947,55;0;;0,00
Café Loyalty;Email;2026-Q1;1683000;58494;88464,39;2733;;532523,26
Talent Hiring;LinkedIn Ads;2026-Q1;569000;21976;31471,40;1944;;235917,61
