Campaign;Channel;Period;Impressions;Clicks;Cost (€);Conversions;;Revenue (€)
Winter Sale;Meta Ads;2026-Q1;261000;10964;3910,52;665;;114543,70
Aurora Launch;Google Ads;2026-Q1;1321000;54264;31872,58;1101;;150122,80
Brand Awareness;YouTube Ads;2026-Q1;606000;9601;14722,25;570;;51400,66
Cart Retargeting;Meta Ads;2026-Q1;176000;2541;4695,47;214;;39387,22
B2B Webinar;LinkedIn Ads;2026-Q1;910000;22517;11876,64;0;;0,00
Black Friday;Google Ads;2026-Q1;489000;9935;10200,56;781;;88411,89
Monthly Newsletter;Email;2026-Q1;1548000;56215;86715,34;875;;160482,48
Micro Influence;TikTok Ads;2026-Q1;;16966;5383,18;771;;95277,68
Blog Traffic;Display;2026-Q1;600000;26634;49851,92;1006;;44586,93
App Install;TikTok Ads;2026-Q1;403000;6120;2083,67;0;;0,00
Café Loyalty;Email;2026-Q1;1570000;55707;61817,61;2603;;175972,82
Talent Hiring;LinkedIn Ads;2026-Q1;277000;4548;7181,81;218;;9678,41
