Campaign;Channel;Period;Impressions;Clicks;Cost (€);Conversions;;Revenue (€)
Winter Sale;Meta Ads;2026-Q1;767000;29114;50917,23;1066;;80663,34
Aurora Launch;Google Ads;2026-Q1;372000;11501;6863,38;666;;61750,73
Brand Awareness;YouTube Ads;2026-Q1;41000;1120;1494,57;92;;3531,44
Cart Retargeting;Meta Ads;2026-Q1;1298000;56461;11903,92;1726;;231194,29
B2B Webinar;LinkedIn Ads;2026-Q1;;28796;47519,81;2248;;450444,85
Black Friday;Google Ads;2026-Q1;1420000;58366;71113,45;740;;122290,79
Monthly Newsletter;Email;2026-Q1;882000;17229;32813,19;0;;0,00
Micro Influence;TikTok Ads;2026-Q1;424000;11347;11414,49;323;;10043,17
Blog Traffic;Display;2026-Q1;1516000;36122;72296,53;0;;0,00
App Install;TikTok Ads;2026-Q1;1491000;55109;32446,82;3989;;488208,13
Café Loyalty;Email;2026-Q1;1387000;18027;7062,26;1213;;216323,06
Talent Hiring;LinkedIn Ads;2026-Q1;1322000;55681;35823,96;4665;;349555,40
